,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure
2,A: Base,2040,$50k-$75k,0.7857643945207005,0.7543522228436214,0.6206167063393488
3,A: Base,2040,$75k-$100k,0.6973073062735079,0.7456632371438879,0.5188995932071582
4,A: Base,2040,$100k-$125k,0.6962313028533724,0.7933627076469282,0.4591275123354361
5,A: Base,2040,$125k-$150k,0.7829684507703891,0.8681794487801129,0.46477119046014126
6,A: Base,2040,>$150k,0.7407449549338604,0.890340125895835,0.37977329593296055
0,A: Base,2045,<$25k,0.5652400975151556,0.6166774114134216,0.46861168737501735
1,A: Base,2045,$25k-$50k,0.5466204497989465,0.5229285753693067,0.4109829015461463
2,A: Base,2045,$50k-$75k,0.5033697181101503,0.51286676586327,0.39672219138176323
3,A: Base,2045,$75k-$100k,0.4476119756700116,0.5104432082044829,0.3362310410528525
4,A: Base,2045,$100k-$125k,0.4452514822455524,0.541729626100397,0.29307141197452696
5,A: Base,2045,$125k-$150k,0.49353596302299246,0.5865248169154452,0.290122416723459
6,A: Base,2045,>$150k,0.4636301060058916,0.5964069631438557,0.2232498677644334
0,A: Base,2050,<$25k,0.363565790319555,0.41885246226131395,0.30406579510197707
1,A: Base,2050,$25k-$50k,0.35714041965414506,0.36035729710676445,0.26742816536046327
2,A: Base,2050,$50k-$75k,0.3300659166613459,0.3520187382777422,0.26265456789155167
3,A: Base,2050,$75k-$100k,0.2934117873115254,0.3508264707255996,0.2333419020144626
4,A: Base,2050,$100k-$125k,0.2878421013369051,0.3684714677899443,0.20504833639086492
5,A: Base,2050,$125k-$150k,0.31645508043269877,0.39538070938168435,0.19907359040813968
6,A: Base,2050,>$150k,0.29121808085261736,0.39669693502670555,0.15267145482409983
0,B: US NDC Carbon Cap,2020,<$25k,0.6686010976620868,0.7356223143796011,0.5692773496488889
1,B: US NDC Carbon Cap,2020,$25k-$50k,0.6493725778377133,0.6257026630720848,0.5003268232811006
2,B: US NDC Carbon Cap,2020,$50k-$75k,0.6054878903339286,0.6235860593257166,0.48550801803340116
3,B: US NDC Carbon Cap,2020,$75k-$100k,0.5485677606993157,0.6339175976822622,0.4148095002875818
4,B: US NDC Carbon Cap,2020,$100k-$125k,0.5555107927428634,0.6829566433727018,0.36856064757814494
5,B: US NDC Carbon Cap,2020,$125k-$150k,0.6331404008014926,0.7462874104630683,0.3729513662093334
6,B: US NDC Carbon Cap,2020,>$150k,0.60929091759716,0.7807090285795577,0.3155706855857474
0,B: US NDC Carbon Cap,2026,<$25k,0.3529660956802423,0.4408811148521768,0.2786933056622455
1,B: US NDC Carbon Cap,2026,$25k-$50k,0.3466775609863695,0.37557480741185106,0.2500429911547278
2,B: US NDC Carbon Cap,2026,$50k-$75k,0.31451865150881136,0.3698678180252138,0.23467378702814662
3,B: US NDC Carbon Cap,2026,$75k-$100k,0.28026014465243554,0.379255737904294,0.19558700656079567
4,B: US NDC Carbon Cap,2026,$100k-$125k,0.27935397540713064,0.4112964042277295,0.169364203627843
5,B: US NDC Carbon Cap,2026,$125k-$150k,0.31509446548323844,0.4500156911377153,0.16515135014265112
6,B: US NDC Carbon Cap,2026,>$150k,0.29866682155102225,0.46880818570089244,0.13618280123958892
0,B: US NDC Carbon Cap,2030,<$25k,0.25887337016414663,0.35020193465172794,0.19608851974741742
1,B: US NDC Carbon Cap,2030,$25k-$50k,0.2554816716868072,0.2988073230347234,0.1782218827413822
2,B: US NDC Carbon Cap,2030,$50k-$75k,0.2309779402578003,0.2934946174813626,0.1672984260621702
3,B: US NDC Carbon Cap,2030,$75k-$100k,0.20730001663762926,0.3041698242844944,0.14339948610908196
4,B: US NDC Carbon Cap,2030,$100k-$125k,0.20627193121085582,0.33113401367335354,0.1257181772890585
5,B: US NDC Carbon Cap,2030,$125k-$150k,0.2297553960062205,0.36198432573295,0.12266192885242294
6,B: US NDC Carbon Cap,2030,>$150k,0.21545853658478076,0.37590837604130495,0.10052336382687296
0,B: US NDC Carbon Cap,2035,<$25k,0.15850451082172967,0.24733560173230376,0.11666269419810517
1,B: US NDC Carbon Cap,2035,$25k-$50k,0.1547118715716087,0.20892453753652246,0.10419946366540009
2,B: US NDC Carbon Cap,2035,$50k-$75k,0.1416865144173016,0.20647289071698222,0.09889578167795302
3,B: US NDC Carbon Cap,2035,$75k-$100k,0.12811077540639343,0.21791356831325154,0.08595512390759136
4,B: US NDC Carbon Cap,2035,$100k-$125k,0.12778373923994976,0.24053522090592094,0.07748361841790478
5,B: US NDC Carbon Cap,2035,$125k-$150k,0.1422513029365328,0.26402093054709325,0.07697308522123278
6,B: US NDC Carbon Cap,2035,>$150k,0.13362689990505847,0.27598439600747515,0.06624384950640369
0,B: US NDC Carbon Cap,2040,<$25k,0.11165394259012203,0.1995827250797148,0.08056592793404477
1,B: US NDC Carbon Cap,2040,$25k-$50k,0.10809477598288746,0.16770348912754215,0.0705367946228367
2,B: US NDC Carbon Cap,2040,$50k-$75k,0.09944965720125443,0.16536316490340094,0.06691375603831798
3,B: US NDC Carbon Cap,2040,$75k-$100k,0.09121993706488826,0.17647851681082255,0.05834059584433021
4,B: US NDC Carbon Cap,2040,$100k-$125k,0.09248469820171339,0.19663127451837217,0.05309672719720348
5,B: US NDC Carbon Cap,2040,$125k-$150k,0.10353916359154228,0.2163897173427082,0.05277617657796054
6,B: US NDC Carbon Cap,2040,>$150k,0.0975467372732696,0.22653972631692337,0.04586498773590423
