,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure
3,B: US NDC Carbon Cap,2035,30-50%,0.13871103633123705,0.21927379180549936,0.09713880583052133
4,B: US NDC Carbon Cap,2035,50-70%,0.15250602319693418,0.24861809628762638,0.11813003898012528
5,B: US NDC Carbon Cap,2035,70-100%,0.17994957401849995,0.2404661903496706,0.15059383869815982
0,B: US NDC Carbon Cap,2040,0-10%,0.10099279139083271,0.18203328556058426,0.06669985227334596
1,B: US NDC Carbon Cap,2040,10-20%,0.10243876201503761,0.16138518400672164,0.06533150115217105
2,B: US NDC Carbon Cap,2040,20-30%,0.10337030926924161,0.16809667139090878,0.06427272084573106
3,B: US NDC Carbon Cap,2040,30-50%,0.0982151525419324,0.17845197891617787,0.06693803132510051
4,B: US NDC Carbon Cap,2040,50-70%,0.10799445539334984,0.2008359482306183,0.08195437265995728
5,B: US NDC Carbon Cap,2040,70-100%,0.1223727854456862,0.18513216853451428,0.09892766880460654
0,B: US NDC Carbon Cap,2045,0-10%,0.14328663390007232,0.21407011808457643,0.10367746445381823
1,B: US NDC Carbon Cap,2045,10-20%,0.14775577508451138,0.19305326888688285,0.10029729247157962
2,B: US NDC Carbon Cap,2045,20-30%,0.15001335226391446,0.20052148072054582,0.0995277037601085
3,B: US NDC Carbon Cap,2045,30-50%,0.14187868585230143,0.2116541510602206,0.1040979311447844
4,B: US NDC Carbon Cap,2045,50-70%,0.15244413952120245,0.23772357524335552,0.1224521374068029
5,B: US NDC Carbon Cap,2045,70-100%,0.16984864076992776,0.22181235507449215,0.13733123244539408
0,B: US NDC Carbon Cap,2050,0-10%,0.2109555717103537,0.2691568219369225,0.1697463116916483
1,B: US NDC Carbon Cap,2050,10-20%,0.20930088501807737,0.24042476539141905,0.15664103831371773
2,B: US NDC Carbon Cap,2050,20-30%,0.20709539557781123,0.24472879824040777,0.15254313446507514
3,B: US NDC Carbon Cap,2050,30-50%,0.19914619513561602,0.259251595602989,0.16358402455477133
4,B: US NDC Carbon Cap,2050,50-70%,0.21878772757045056,0.2968191839169758,0.19784516502114852
5,B: US NDC Carbon Cap,2050,70-100%,0.2667107181972372,0.2997532501256455,0.23810747130359333
0,C: 1.5C Pathway Carbon Cap,2020,0-10%,0.6202369118772327,0.6774443790036163,0.4831802318903201
1,C: 1.5C Pathway Carbon Cap,2020,10-20%,0.6182435849309171,0.6031395686656625,0.467319976365269
2,C: 1.5C Pathway Carbon Cap,2020,20-30%,0.6087943739639529,0.6036279423461887,0.44641348090612043
3,C: 1.5C Pathway Carbon Cap,2020,30-50%,0.5756901744422089,0.6345687993053923,0.46524638932892265
4,C: 1.5C Pathway Carbon Cap,2020,50-70%,0.6487996716568883,0.7434090473992917,0.5765403994337209
5,C: 1.5C Pathway Carbon Cap,2020,70-100%,0.8115039105578458,0.8147706682697007,0.7857726231460388
0,C: 1.5C Pathway Carbon Cap,2026,0-10%,0.2490156338352995,0.33816917448851164,0.17814115772111846
1,C: 1.5C Pathway Carbon Cap,2026,10-20%,0.2560528086631412,0.3020710751555332,0.1775223450518733
2,C: 1.5C Pathway Carbon Cap,2026,20-30%,0.2565101848917185,0.30823610294655684,0.17245573421173077
3,C: 1.5C Pathway Carbon Cap,2026,30-50%,0.2403803607179184,0.3238907131165922,0.17714648489663137
4,C: 1.5C Pathway Carbon Cap,2026,50-70%,0.26600561088726066,0.37089946115079936,0.21376276499938346
5,C: 1.5C Pathway Carbon Cap,2026,70-100%,0.31942391699210015,0.3775746929449673,0.2771924333668441
0,C: 1.5C Pathway Carbon Cap,2030,0-10%,0.03899460459226477,0.11803160180364239,0.019554887758831272
1,C: 1.5C Pathway Carbon Cap,2030,10-20%,0.03693010736699129,0.10226411592294397,0.017223254612234524
2,C: 1.5C Pathway Carbon Cap,2030,20-30%,0.037445950975931924,0.10782256586436109,0.01710590328914899
3,C: 1.5C Pathway Carbon Cap,2030,30-50%,0.03709482198038767,0.11542600342809783,0.019057655051009655
4,C: 1.5C Pathway Carbon Cap,2030,50-70%,0.039867281091131634,0.12751607774672313,0.023730502366398776
5,C: 1.5C Pathway Carbon Cap,2030,70-100%,0.03859951909104105,0.10673010149995789,0.02206623818987826
0,C: 1.5C Pathway Carbon Cap,2035,0-10%,0.015018552144078096,0.04743664740831354,0.005915452206798185
1,C: 1.5C Pathway Carbon Cap,2035,10-20%,0.014852536911885317,0.04310998511451156,0.005434652678144547
2,C: 1.5C Pathway Carbon Cap,2035,20-30%,0.015739774008147942,0.04620471956956999,0.005958350324236431
3,C: 1.5C Pathway Carbon Cap,2035,30-50%,0.015282626829791661,0.048030089966594,0.006281178120417165
4,C: 1.5C Pathway Carbon Cap,2035,50-70%,0.015073576899635422,0.05090437116113105,0.006332604384560227
