,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure,,,
4,G: Low Carbon 2035 Mandate,2050,Indigenous,0.010980828,0.034669354,0.003547451,,,
5,G: Low Carbon 2035 Mandate,2050,Non-Latinx White,0.01534504,0.050508642,0.005220982,,,
0,H: Low Carbon 2050 Mandate,2020,Total,0.873246323,0.85343429,0.676462483,,,
1,H: Low Carbon 2050 Mandate,2020,Black,1.136139711,1.146074168,0.785651136,,,
2,H: Low Carbon 2050 Mandate,2020,Asian,0.651451805,0.749650562,0.445161068,,,
3,H: Low Carbon 2050 Mandate,2020,Latinx/Hispanic,0.603376967,0.66938785,0.465875544,,,
4,H: Low Carbon 2050 Mandate,2020,Indigenous,0.657279718,0.587579312,0.515088435,,,
5,H: Low Carbon 2050 Mandate,2020,Non-Latinx White,0.97020613,0.926871175,0.773311984,,,
0,H: Low Carbon 2050 Mandate,2026,Total,0.904372284,0.872463699,0.685650696,,,
1,H: Low Carbon 2050 Mandate,2026,Black,1.191717967,1.185898241,0.808167352,,,
2,H: Low Carbon 2050 Mandate,2026,Asian,0.662845379,0.754849196,0.440771337,,,
3,H: Low Carbon 2050 Mandate,2026,Latinx/Hispanic,0.616963032,0.673016087,0.461469395,,,
4,H: Low Carbon 2050 Mandate,2026,Indigenous,0.655921373,0.578379068,0.486133013,,,
5,H: Low Carbon 2050 Mandate,2026,Non-Latinx White,1.004373024,0.947590233,0.784365553,,,
0,H: Low Carbon 2050 Mandate,2030,Total,0.809395535,0.785921446,0.613220976,,,
1,H: Low Carbon 2050 Mandate,2030,Black,1.067172264,1.06912433,0.714131855,,,
2,H: Low Carbon 2050 Mandate,2030,Asian,0.581581126,0.670904535,0.37451491,,,
3,H: Low Carbon 2050 Mandate,2030,Latinx/Hispanic,0.525937476,0.583161597,0.376278405,,,
4,H: Low Carbon 2050 Mandate,2030,Indigenous,0.568939919,0.510867996,0.432884523,,,
5,H: Low Carbon 2050 Mandate,2030,Non-Latinx White,0.90204933,0.856256986,0.707467384,,,
0,H: Low Carbon 2050 Mandate,2035,Total,0.523502077,0.530298063,0.395990482,,,
1,H: Low Carbon 2050 Mandate,2035,Black,0.695162997,0.72453336,0.458545685,,,
2,H: Low Carbon 2050 Mandate,2035,Asian,0.361424681,0.449165219,0.229745539,,,
3,H: Low Carbon 2050 Mandate,2035,Latinx/Hispanic,0.327091619,0.395718692,0.231680189,,,
4,H: Low Carbon 2050 Mandate,2035,Indigenous,0.364937763,0.348264291,0.292295524,,,
5,H: Low Carbon 2050 Mandate,2035,Non-Latinx White,0.584824422,0.577261186,0.458764576,,,
0,H: Low Carbon 2050 Mandate,2040,Total,0.225412155,0.261942809,0.165490024,,,
1,H: Low Carbon 2050 Mandate,2040,Black,0.289034221,0.351076187,0.182014489,,,
2,H: Low Carbon 2050 Mandate,2040,Asian,0.155794102,0.229893786,0.100665033,,,
3,H: Low Carbon 2050 Mandate,2040,Latinx/Hispanic,0.154040342,0.220393352,0.116673457,,,
4,H: Low Carbon 2050 Mandate,2040,Indigenous,0.175052676,0.193162904,0.159773286,,,
5,H: Low Carbon 2050 Mandate,2040,Non-Latinx White,0.252308607,0.283446715,0.190745937,,,
0,H: Low Carbon 2050 Mandate,2045,Total,0.062363264,0.096377347,0.04904338,,,
1,H: Low Carbon 2050 Mandate,2045,Black,0.071563051,0.122933029,0.044955229,,,
2,H: Low Carbon 2050 Mandate,2045,Asian,0.045875588,0.092017189,0.031210973,,,
3,H: Low Carbon 2050 Mandate,2045,Latinx/Hispanic,0.046121942,0.091593501,0.038033936,,,
4,H: Low Carbon 2050 Mandate,2045,Indigenous,0.052719792,0.074858678,0.056686836,,,
5,H: Low Carbon 2050 Mandate,2045,Non-Latinx White,0.070625666,0.103815226,0.05737356,,,
0,H: Low Carbon 2050 Mandate,2050,Total,0.008936789,0.02870282,0.002997448,,,
1,H: Low Carbon 2050 Mandate,2050,Black,0.012945123,0.042802129,0.004087895,,,
2,H: Low Carbon 2050 Mandate,2050,Asian,0.008130695,0.028698744,0.003165785,,,
3,H: Low Carbon 2050 Mandate,2050,Latinx/Hispanic,0.009534017,0.032304895,0.003957316,,,
4,H: Low Carbon 2050 Mandate,2050,Indigenous,0.006363372,0.019365288,0.002001522,,,
5,H: Low Carbon 2050 Mandate,2050,Non-Latinx White,0.009322207,0.029377558,0.003063622,,,
