,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure,,,
4,B: US NDC Carbon Cap,2045,Indigenous,0.108633903,0.137176693,0.086629705,,,
5,B: US NDC Carbon Cap,2045,Non-Latinx White,0.148684442,0.203221505,0.107266098,,,
0,B: US NDC Carbon Cap,2050,Total,0.193565813,0.237873645,0.150844443,,,
1,B: US NDC Carbon Cap,2050,Black,0.242762569,0.315237229,0.165684306,,,
2,B: US NDC Carbon Cap,2050,Asian,0.140582444,0.212862371,0.098909549,,,
3,B: US NDC Carbon Cap,2050,Latinx/Hispanic,0.14354194,0.20542709,0.116713945,,,
4,B: US NDC Carbon Cap,2050,Indigenous,0.156211337,0.17647341,0.148114941,,,
5,B: US NDC Carbon Cap,2050,Non-Latinx White,0.216167326,0.257340664,0.172622531,,,
0,C: 1.5C Pathway Carbon Cap,2020,Total,0.572260849,0.598874078,0.443384949,,,
1,C: 1.5C Pathway Carbon Cap,2020,Black,0.751087064,0.810282529,0.51282305,,,
2,C: 1.5C Pathway Carbon Cap,2020,Asian,0.421046107,0.534163624,0.273877287,,,
3,C: 1.5C Pathway Carbon Cap,2020,Latinx/Hispanic,0.367471418,0.459481986,0.257425052,,,
4,C: 1.5C Pathway Carbon Cap,2020,Indigenous,0.395760539,0.384931747,0.292306371,,,
5,C: 1.5C Pathway Carbon Cap,2020,Non-Latinx White,0.637708603,0.64979447,0.513162921,,,
0,C: 1.5C Pathway Carbon Cap,2026,Total,0.234576432,0.30020334,0.166667755,,,
1,C: 1.5C Pathway Carbon Cap,2026,Black,0.313059561,0.413477444,0.194751924,,,
2,C: 1.5C Pathway Carbon Cap,2026,Asian,0.171242848,0.279615761,0.101483182,,,
3,C: 1.5C Pathway Carbon Cap,2026,Latinx/Hispanic,0.151965842,0.247759892,0.096459464,,,
4,C: 1.5C Pathway Carbon Cap,2026,Indigenous,0.161793694,0.197549268,0.120542046,,,
5,C: 1.5C Pathway Carbon Cap,2026,Non-Latinx White,0.260405129,0.322038467,0.192380329,,,
0,C: 1.5C Pathway Carbon Cap,2030,Total,0.035091102,0.10320322,0.017361586,,,
1,C: 1.5C Pathway Carbon Cap,2030,Black,0.044755072,0.144844625,0.021293077,,,
2,C: 1.5C Pathway Carbon Cap,2030,Asian,0.033572889,0.111014742,0.016305176,,,
3,C: 1.5C Pathway Carbon Cap,2030,Latinx/Hispanic,0.033745928,0.108318065,0.01597769,,,
4,C: 1.5C Pathway Carbon Cap,2030,Indigenous,0.025297274,0.068393194,0.010438037,,,
5,C: 1.5C Pathway Carbon Cap,2030,Non-Latinx White,0.037801748,0.107398884,0.018966691,,,
0,C: 1.5C Pathway Carbon Cap,2035,Total,0.013778059,0.042293127,0.005325069,,,
