Dim1,Dim2,Dim3,Val
battery,p23,2040,-82494.53841
battery,p23,2045,-66790.33672
battery,p23,2050,-53918.61528
battery,p24,2026,-207001.9118
battery,p24,2028,-202726.8857
battery,p24,2030,-352539.8557
battery,p24,2035,-626559.4352
battery,p24,2040,-666694.4228
battery,p24,2045,-758627.6975
battery,p24,2050,-969902.3344
battery,p25,2024,-846.4006567
battery,p25,2026,-337.0019095
battery,p25,2028,-22649.75795
battery,p25,2030,-18894.5251
battery,p25,2035,-31240.86257
battery,p25,2040,-223820.8875
battery,p25,2045,-207825.5324
battery,p25,2050,-462054.6783
battery,p26,2026,-17.17814835
battery,p26,2028,-24.37653726
battery,p26,2030,-18.43545005
battery,p26,2035,-30749.20162
battery,p26,2040,-41415.08584
battery,p26,2045,-34892.00281
battery,p26,2050,-27403.46238
battery,p27,2026,-138029.2109
battery,p27,2028,-161647.9558
battery,p27,2030,-189096.8596
battery,p27,2035,-413171.2713
battery,p27,2040,-381459.027
battery,p27,2045,-278466.344
battery,p27,2050,-270318.6681
battery,p28,2026,-39688.25306
battery,p28,2028,-46662.18024
battery,p28,2030,-35031.25554
battery,p28,2035,-7340.917048
battery,p28,2040,-344539.4525
battery,p28,2045,-374044.934
battery,p28,2050,-561750.95
battery,p29,2026,-0.300603337
battery,p29,2028,-0.230312095
battery,p29,2030,-0.216892507
battery,p29,2035,-51997.21639
battery,p29,2040,-43112.97379
battery,p29,2045,-104028.4098
battery,p29,2050,-79899.42326
battery,p30,2024,-8931.107114
battery,p30,2026,-76629.76919
battery,p30,2028,-78697.3611
battery,p30,2030,-81342.42963
battery,p30,2035,-539951.3493
battery,p30,2040,-511927.7708
battery,p30,2045,-471733.0566
battery,p30,2050,-392788.3806
battery,p31,2014,-6.242462597
battery,p31,2016,-139.515792
battery,p31,2018,-525.1546067
battery,p31,2020,-608.5802901
battery,p31,2022,-1477.55521
battery,p31,2024,-2451.52486
battery,p31,2026,-153237.4072
battery,p31,2028,-503678.3535
battery,p31,2030,-1525283.267
battery,p31,2035,-1386569.498
battery,p31,2040,-1375479.684
battery,p31,2045,-869280.0427
battery,p31,2050,-1195557.639
battery,p32,2026,-5178.880389
battery,p32,2028,-5633.455466
battery,p32,2030,-7846.322937
battery,p32,2035,-6469.69677
battery,p32,2040,-7784.780789
battery,p32,2045,-5703.252181
battery,p32,2050,-33074.29327
battery,p33,2026,-53.65992
battery,p33,2028,-174.032173
battery,p33,2030,-463.5340622
battery,p33,2035,-151936.5292
battery,p33,2040,-622912.4805
battery,p33,2045,-609069.0207
battery,p33,2050,-376858.8661
battery,p34,2026,-42067.25047
battery,p34,2028,-92843.87118
battery,p34,2030,-408355.6614
battery,p34,2035,-527848.7921
battery,p34,2040,-565258.4778
battery,p34,2045,-715095.2007
battery,p34,2050,-1056696.182
battery,p35,2030,-63224.47389
battery,p35,2035,-14694.30445
battery,p35,2040,-57346.67663
battery,p35,2045,-44888.84094
battery,p35,2050,-28406.45001
battery,p36,2030,-135762.8753
battery,p36,2035,-56177.78115
battery,p36,2040,-183480.3362
battery,p36,2045,-120701.8111
battery,p36,2050,-77641.1991
battery,p37,2026,-20337.75553
battery,p37,2028,-53548.21587
battery,p37,2030,-48183.4857
battery,p37,2035,-174140.962
battery,p37,2040,-193001.3919
battery,p37,2045,-170946.4444
battery,p37,2050,-32695.10041
battery,p38,2028,-77984.12043
battery,p38,2030,-408767.4977
battery,p38,2035,-179060.3223
battery,p38,2040,-8982277.184
battery,p38,2045,-7364159.797
battery,p38,2050,-6490211.439
battery,p39,2030,-136141.7927
battery,p39,2035,-99342.41262
battery,p39,2040,-82991.52985
battery,p39,2045,-297484.1367
battery,p39,2050,-185488.0583
battery,p40,2028,-94857.89638
battery,p40,2030,-324642.3216
battery,p40,2035,-462821.9187
battery,p40,2040,-1120839.909
battery,p40,2045,-921840.8586
battery,p40,2050,-626284.8092
battery,p41,2028,-121874.2032
battery,p41,2030,-308597.6135
battery,p41,2035,-1402266.177
battery,p41,2040,-1558794.476
battery,p41,2045,-1326465.587
battery,p41,2050,-3522502.723
battery,p42,2028,-13755.28611
battery,p42,2030,-51950.10873
battery,p42,2035,-113231.7956
battery,p42,2040,-182589.8302
battery,p42,2045,-195848.65
battery,p42,2050,-236.5312649
battery,p43,2026,-33933.29101
battery,p43,2028,-36969.38032
battery,p43,2030,-297564.2253
battery,p43,2035,-154310.5581
battery,p43,2040,-423707.4369
battery,p43,2045,-413936.852
battery,p43,2050,-310142.3729
battery,p44,2014,-213.8941576
battery,p44,2016,-172.7801352
battery,p44,2018,-88.32
battery,p44,2020,-64.94117647
battery,p44,2022,-691.8680432
battery,p44,2024,-558.2435069
battery,p44,2026,-691.8680432
battery,p44,2028,-691.8680432
battery,p44,2030,-188164.2919
battery,p44,2035,-108165.1814
battery,p44,2040,-162221.3549
battery,p44,2045,-83379.9305
battery,p44,2050,-60257.51633
battery,p45,2030,-530949.8395
