Dim1,Dim2,Dim3,Val
battery,p27,2035,-100321.2899
battery,p27,2040,-173531.9671
battery,p27,2045,-115946.3609
battery,p27,2050,-794880.2593
battery,p28,2026,-2411.256843
battery,p28,2028,-3049.454307
battery,p28,2030,-3236.220716
battery,p28,2035,-67603.92311
battery,p28,2040,-77519.01449
battery,p28,2045,-243660.2829
battery,p28,2050,-1232406.645
battery,p29,2035,-960.8204063
battery,p29,2040,-50081.81894
battery,p29,2045,-65953.54648
battery,p29,2050,-65928.168
battery,p30,2024,-6037.585801
battery,p30,2026,-27926.9373
battery,p30,2028,-43839.31294
battery,p30,2030,-46188.67278
battery,p30,2035,-32072.38931
battery,p30,2040,-97185.486
battery,p30,2045,-143670.4602
battery,p30,2050,-217672.4451
battery,p31,2014,-6.242462597
battery,p31,2016,-139.515792
battery,p31,2018,-525.1546067
battery,p31,2020,-608.5802901
battery,p31,2022,-1344.022504
battery,p31,2024,-1866.220572
battery,p31,2026,-1717.395491
battery,p31,2028,-46882.19305
battery,p31,2030,-54619.6068
battery,p31,2035,-294514.983
battery,p31,2040,-617419.5705
battery,p31,2045,-1449612.975
battery,p31,2050,-1550881.01
battery,p32,2035,-1107.540856
battery,p32,2040,-10098.08135
battery,p32,2045,-49851.82272
battery,p32,2050,-179555.5983
battery,p33,2040,-22915.15451
battery,p33,2045,-21569.51114
battery,p33,2050,-49504.1888
battery,p34,2030,-12304.69617
battery,p34,2035,-110387.6297
battery,p34,2040,-151327.1433
battery,p34,2045,-656306.7895
battery,p34,2050,-1282294.452
battery,p35,2035,-5831.279845
battery,p35,2040,-4017.618517
battery,p35,2045,-5878.805082
battery,p35,2050,-39008.89118
battery,p36,2035,-5511.63354
battery,p36,2040,-15732.89412
battery,p36,2045,-13571.65951
battery,p36,2050,-220796.5816
battery,p37,2026,-861.2963459
battery,p37,2028,-929.7545868
battery,p37,2030,-45595.52828
battery,p37,2035,-32881.16507
battery,p37,2040,-219783.9366
battery,p37,2045,-97849.25249
battery,p37,2050,-130132.8213
battery,p38,2028,-7385.278504
battery,p38,2030,-13954.47157
battery,p38,2035,-17437.72973
battery,p38,2040,-281941.3805
battery,p38,2045,-217733.0686
battery,p38,2050,-355638.6334
battery,p39,2028,-613.0752149
battery,p39,2030,-1001.783035
battery,p39,2035,-5516.260014
battery,p39,2040,-101698.5796
battery,p39,2045,-829176.6123
battery,p39,2050,-569684.139
battery,p40,2028,-21072.30517
battery,p40,2030,-64775.51884
battery,p40,2035,-78205.37157
battery,p40,2040,-64833.22774
battery,p40,2045,-166925.9275
battery,p40,2050,-149787.7747
battery,p41,2035,-80776.6349
battery,p41,2040,-111018.8617
battery,p41,2045,-153929.4685
battery,p41,2050,-64674.75319
battery,p42,2026,-30.78557751
battery,p42,2028,-37.48086191
battery,p42,2030,-17222.08051
battery,p42,2035,-5860.195067
battery,p42,2040,-6680.099893
battery,p42,2045,-42504.35371
battery,p42,2050,-15613.62371
battery,p43,2026,-713.4037502
battery,p43,2028,-1265.389566
battery,p43,2030,-32262.7034
battery,p43,2035,-10360.08823
battery,p43,2040,-37298.58911
battery,p43,2045,-13746.46516
battery,p43,2050,-1068121.199
battery,p44,2014,-213.8941576
battery,p44,2016,-172.7801352
battery,p44,2018,-88.32
battery,p44,2020,-64.94117647
battery,p44,2022,-374.652744
battery,p44,2024,-605.6844324
battery,p44,2026,-558.3930811
battery,p44,2028,-4456.377298
battery,p44,2030,-6350.902976
battery,p44,2035,-12666.69252
battery,p44,2040,-110186.3268
battery,p44,2045,-86552.17082
battery,p44,2050,-220146.6009
battery,p45,2030,-98374.14414
battery,p45,2035,-359550.1457
battery,p45,2040,-732492.4977
battery,p45,2045,-1066329.571
battery,p45,2050,-813935.5084
battery,p46,2026,-150.3612999
battery,p46,2028,-162.2980591
battery,p46,2030,-193.2354705
battery,p46,2035,-11568.24819
battery,p46,2040,-6869.177432
battery,p46,2045,-14470.39995
battery,p46,2050,-194014.4639
battery,p47,2040,-89565.73394
battery,p47,2045,-205437.9775
battery,p47,2050,-199314.3698
battery,p48,2040,-332025.9676
battery,p48,2045,-897658.2642
battery,p48,2050,-905790.3481
battery,p49,2040,-51791.92695
battery,p49,2045,-51204.45069
battery,p49,2050,-47313.77075
battery,p50,2030,-143152.5956
battery,p50,2035,-369590.5415
battery,p50,2040,-824369.7894
battery,p50,2045,-2178550.847
battery,p50,2050,-2082610.735
battery,p51,2040,-218992.1564
battery,p51,2045,-505412.0004
battery,p51,2050,-565488.6719
battery,p52,2040,-12425.18173
battery,p52,2045,-67703.63132
battery,p52,2050,-72518.47658
battery,p53,2030,-254694.9248
battery,p53,2035,-258392.3212
battery,p53,2040,-519203.5991
battery,p53,2045,-1226573.503
battery,p53,2050,-1171967.808
battery,p54,2012,-394.3314049
battery,p54,2014,-330.0369112
battery,p54,2016,-464.0497514
battery,p54,2018,-691.8680432
battery,p54,2020,-691.8680432
battery,p54,2022,-16.76181756
battery,p54,2024,-691.8680432
battery,p54,2026,-691.8680432
battery,p54,2028,-12097.02434
battery,p54,2030,-35187.95671
battery,p54,2035,-26183.38691
battery,p54,2040,-82168.01997
battery,p54,2045,-559542.1172
battery,p54,2050,-665612.8949
battery,p55,2040,-93789.81109
battery,p55,2045,-1032320.258
battery,p55,2050,-441645.3509
battery,p56,2030,-12737.16149
battery,p56,2035,-31996.49238
battery,p56,2040,-179291.9929
battery,p56,2045,-819303.0656
battery,p56,2050,-704419.0857
battery,p57,2040,-3331.278481
battery,p57,2045,-36261.82115
battery,p57,2050,-61305.99028
battery,p58,2018,-3.458823529
battery,p58,2040,-14483.30047
battery,p58,2045,-242102.7881
battery,p58,2050,-676724.1838
battery,p59,2014,-10.62759728
battery,p59,2016,-0.321637314
battery,p59,2018,-108.2772868
battery,p59,2020,-21.50832433
battery,p59,2022,-84.08769303
battery,p59,2024,-404.6671054
battery,p59,2026,-5375.711308
battery,p59,2028,-6308.115169
battery,p59,2030,-6446.468622
battery,p59,2035,-13815.51352
battery,p59,2040,-43230.18955
battery,p59,2045,-51206.51132
battery,p59,2050,-64732.10993
battery,p60,2018,-5736.523676
battery,p60,2020,-6013.575656
battery,p60,2022,-12212.3491
battery,p60,2024,-32395.60683
battery,p60,2026,-32636.13248
battery,p60,2028,-33891.6849
battery,p60,2030,-34593.98293
battery,p60,2040,-442830.4331
battery,p60,2045,-639883.9294
battery,p60,2050,-625872.2601
battery,p61,2010,-421.9993412
battery,p61,2012,-228.2551437
battery,p61,2014,-312.1924078
battery,p61,2016,-513.5599456
battery,p61,2018,-328.883418
battery,p61,2020,-634.2952895
battery,p61,2022,-1210.292523
battery,p61,2024,-2668.645191
battery,p61,2040,-183661.2627
battery,p61,2045,-503268.0084
battery,p61,2050,-478371.8391
battery,p62,2012,-265.8476439
battery,p62,2014,-2291.124706
battery,p62,2016,-351.4663328
battery,p62,2018,-79.83026552
battery,p62,2020,-683.5895651
battery,p62,2022,-1666.538779
battery,p62,2024,-28490.03653
battery,p62,2026,-30152.01037
battery,p62,2028,-6849.493628
battery,p62,2030,-6785.946866
battery,p62,2040,-211579.3813
battery,p62,2045,-247933.255
battery,p62,2050,-263830.92
battery,p63,2040,-708400.775
battery,p63,2045,-2208614.292
battery,p63,2050,-3202303.838
battery,p64,2018,-10.37647059
battery,p64,2022,-2971.764078
battery,p64,2024,-6953.781473
battery,p64,2026,-7485.005402
battery,p64,2028,-7887.295693
battery,p64,2030,-7887.295693
battery,p64,2040,-464885.7244
battery,p64,2045,-919021.8168
battery,p64,2050,-994601.5584
battery,p65,2016,-220.6315001
battery,p65,2018,-217.8118063
