"Dim1","Dim2","Dim3","Val"
"battery","p31","2014",-6.24246259655159
"battery","p31","2016",-139.515792
"battery","p31","2018",-525.154606658989
"battery","p31","2020",-608.580290126865
"battery","p31","2022",-1154.06968620959
"battery","p31","2024",-701.860967908842
"battery","p31","2026",-1078.34506054054
"battery","p31","2028",-400.045708903021
"battery","p31","2030",-462.312419713831
"battery","p31","2035",-56689.2942397808
"battery","p31","2040",-869224.940446885
"battery","p31","2045",-1377879.44860163
"battery","p31","2050",-1675828.30201259
"battery","p32","2040",-14296.9717911484
"battery","p32","2045",-201700.810690123
"battery","p32","2050",-126659.804170798
"battery","p33","2050",-179346.571172496
"battery","p34","2035",-17764.5072990644
"battery","p34","2040",-27565.1671502851
"battery","p34","2045",-864767.67037226
"battery","p34","2050",-747443.929622781
"battery","p35","2040",-3301.58296592029
"battery","p35","2045",-16797.6269506142
"battery","p35","2050",-3615.75000861456
"battery","p36","2040",-12485.0174061597
"battery","p36","2045",-9085.34103371706
"battery","p36","2050",-24994.2715719007
"battery","p37","2026",-8986.51393001922
"battery","p37","2028",-10522.7654718915
"battery","p37","2030",-9498.03048913118
"battery","p37","2035",-7386.73371001267
"battery","p37","2040",-170402.193379823
"battery","p37","2045",-135076.448342836
"battery","p37","2050",-538480.169539347
"battery","p38","2028",-2138.32669379525
"battery","p38","2030",-2528.21697796236
"battery","p38","2035",-14167.3598149491
"battery","p38","2040",-125564.707344328
"battery","p38","2045",-138933.607598003
"battery","p38","2050",-60109.6540398433
"battery","p39","2026",-640.764691290485
"battery","p39","2028",-1013.32854736408
"battery","p39","2030",-7823.93119242791
"battery","p39","2035",-47672.8053549078
"battery","p39","2040",-86750.2713117749
"battery","p39","2045",-86555.9405682776
"battery","p39","2050",-25463.2757919213
"battery","p40","2028",-36811.2077670291
"battery","p40","2030",-36058.3629037686
"battery","p40","2035",-15850.3712112158
"battery","p40","2040",-29449.406838945
"battery","p40","2045",-375347.343827472
"battery","p40","2050",-306627.571423315
"battery","p41","2035",-5578.66688248828
"battery","p41","2040",-97115.5503336109
"battery","p41","2045",-438948.670483501
"battery","p41","2050",-223060.53010832
"battery","p42","2028",-1612.37080726774
"battery","p42","2030",-1483.84105030573
"battery","p42","2035",-531.596757176083
"battery","p42","2040",-2125.81930055422
"battery","p42","2045",-21759.0774081255
"battery","p42","2050",-718.98461499709
"battery","p43","2026",-693.64807575141
"battery","p43","2028",-740.460685043545
"battery","p43","2030",-2439.59209389494
"battery","p43","2035",-21312.954721852
"battery","p43","2040",-114853.306575592
"battery","p43","2045",-162663.165162069
"battery","p43","2050",-646995.577425115
"battery","p44","2014",-213.894157577331
"battery","p44","2016",-172.780135229734
"battery","p44","2018",-88.32
"battery","p44","2020",-64.9411764705882
"battery","p44","2022",-213.721411764706
"battery","p44","2024",-124.274594594594
"battery","p44","2026",-368.152368839428
"battery","p44","2028",-824.687256258841
"battery","p44","2030",-486.973223141058
"battery","p44","2035",-388.815424020625
"battery","p44","2040",-72350.4161542611
"battery","p44","2045",-49570.4865374318
"battery","p44","2050",-37079.9825299109
"battery","p45","2028",-42502.2865437275
"battery","p45","2030",-41065.2784545546
"battery","p45","2035",-39012.4205761228
"battery","p45","2040",-364166.42579967
"battery","p45","2045",-831617.345107015
"battery","p45","2050",-1467545.10163488
"battery","p46","2024",-1343.94455603552
"battery","p46","2026",-192.988885946325
"battery","p46","2028",-189.277065680116
"battery","p46","2030",-106.162129565863
"battery","p46","2035",-2205.02147828251
"battery","p46","2040",-1618.12507762529
"battery","p46","2045",-4261.0166776504
"battery","p46","2050",-9718.86947699735
"battery","p47","2040",-42908.235677417
"battery","p47","2045",-78831.1663796417
"battery","p47","2050",-178216.667494624
"battery","p48","2040",-291864.916029595
"battery","p48","2045",-451170.072630568
"battery","p48","2050",-965028.455398132
"battery","p49","2040",-38033.8268036302
"battery","p49","2045",-50311.4580992947
"battery","p49","2050",-228000.010054263
"battery","p50","2040",-253753.961960822
"battery","p50","2045",-1149552.08281091
"battery","p50","2050",-3228252.91464948
"battery","p51","2045",-269136.208903136
"battery","p51","2050",-848207.504919089
"battery","p52","2040",-11315.3413964816
"battery","p52","2045",-10721.7614117171
"battery","p52","2050",-308881.66320303
"battery","p53","2040",-357192.786405414
"battery","p53","2045",-891793.10031886
"battery","p53","2050",-2160220.03158971
"battery","p54","2012",-394.331404897663
"battery","p54","2014",-330.036911207392
"battery","p54","2016",-464.04975144562
"battery","p54","2018",-691.868043243243
"battery","p54","2020",-691.868043243243
"battery","p54","2022",-691.868043243243
"battery","p54","2024",-691.868043243243
"battery","p54","2026",-691.868043243243
"battery","p54","2028",-13725.9757604865
"battery","p54","2030",-18801.6257489531
"battery","p54","2035",-13074.4099374631
"battery","p54","2040",-45138.2911200393
"battery","p54","2045",-505807.808435106
"battery","p54","2050",-684308.919004503
"battery","p55","2024",-8.30117647058822
"battery","p55","2045",-143173.706277462
"battery","p55","2050",-580924.993929671
"battery","p56","2040",-28191.0747779931
"battery","p56","2045",-329659.385006918
"battery","p56","2050",-298351.325934075
"battery","p57","2045",-141154.38744754
"battery","p57","2050",-489452.727841631
"battery","p58","2018",-3.45882352941176
"battery","p58","2045",-58651.9498914927
"battery","p58","2050",-918442.849939797
"battery","p59","2014",-10.6275972761188
"battery","p59","2016",-0.321637314360142
"battery","p59","2018",-108.277286787163
"battery","p59","2020",-21.5083243344227
"battery","p59","2022",-95.5338695858477
"battery","p59","2024",-96.2537443610987
"battery","p59","2035",-5379.57925120404
"battery","p59","2040",-40964.3428123492
"battery","p59","2045",-75778.4212881132
"battery","p59","2050",-85085.3956148368
"battery","p60","2018",-5736.5236755034
"battery","p60","2020",-6013.5756563735
"battery","p60","2022",-5830.90485729352
"battery","p60","2024",-8588.33627867564
"battery","p60","2026",-12674.5244235606
"battery","p60","2028",-12864.7492549631
"battery","p60","2030",-11061.4581739715
"battery","p60","2040",-59885.7535217617
"battery","p60","2045",-238547.26558262
"battery","p60","2050",-191112.517315457
"battery","p61","2010",-421.999341176471
"battery","p61","2012",-228.255143682066
"battery","p61","2014",-312.192407790713
"battery","p61","2016",-513.559945637697
"battery","p61","2018",-328.883417988622
"battery","p61","2020",-634.29528950763
"battery","p61","2022",-724.690498128898
"battery","p61","2024",-965.333810879335
"battery","p61","2040",-66642.6073871395
"battery","p61","2045",-153137.583920998
"battery","p61","2050",-241865.693463772
"battery","p62","2012",-265.847643936998
"battery","p62","2014",-2291.12470588235
"battery","p62","2016",-351.466332803015
"battery","p62","2018",-79.8302655207307
"battery","p62","2020",-683.589565086145
"battery","p62","2022",-1204.80279493648
"battery","p62","2024",-2082.27467317228
"battery","p62","2026",-2440.49084644181
"battery","p62","2028",-1970.14540599935
"battery","p62","2030",-2400.93660765672
"battery","p62","2045",-157631.987493915
"battery","p62","2050",-471734.31326461
"battery","p63","2045",-1637134.33533237
"battery","p63","2050",-5292345.93925921
"battery","p64","2018",-10.3764705882353
"battery","p64","2022",-1404.34995662957
"battery","p64","2024",-857.360411663205
"battery","p64","2026",-1137.33011734759
"battery","p64","2028",-2158.28998081309
"battery","p64","2030",-3250.67083379446
"battery","p64","2045",-121363.314454177
"battery","p64","2050",-1598596.85848322
"battery","p65","2016",-220.631500077313
"battery","p65","2018",-217.81180633013
"battery","p65","2020",-230.460890330878
"battery","p65","2022",-268.652073767886
"battery","p65","2024",-253.463481081081
"battery","p65","2026",-395.347612082671
"battery","p65","2028",-481.408025210088
"battery","p65","2030",-489.475028298887
"battery","p65","2045",-1385628.03618725
"battery","p65","2050",-2374882.34184533
"battery","p66","2045",-51254.992440798
"battery","p66","2050",-1438838.71402442
"battery","p67","2045",-71201.9467437815
"battery","p67","2050",-2185546.44963229
"battery","p68","2026",-1538.58639909527
"battery","p68","2028",-3480.24119519771
"battery","p68","2030",-3173.4894591348
"battery","p68","2035",-3466.51602151718
"battery","p68","2040",-109191.20163471
"battery","p68","2045",-84115.4443990521
"battery","p68","2050",-94757.587869176
"battery","p69","2035",-1360.2722909336
"battery","p69","2040",-70691.9850600509
"battery","p69","2045",-180352.577583012
"battery","p69","2050",-110880.904007467
"battery","p70","2035",-619.154599789121
"battery","p70","2040",-293041.777978809
"battery","p70","2045",-840623.154519708
"battery","p70","2050",-984506.354376848
"battery","p71","2040",-53616.8060063541
"battery","p71","2045",-82171.4219586924
"battery","p71","2050",-205439.673504405
"battery","p72","2050",-342942.622111635
"battery","p73","2045",-2341.12831176088
"battery","p73","2050",-159236.273532417
"battery","p74","2040",-32537.73310754
"battery","p74","2045",-161092.96178744
"battery","p74","2050",-115953.563208669
"battery","p75","2040",-166177.542366932
"battery","p75","2045",-344344.423047461
"battery","p75","2050",-354398.846853218
"battery","p76","2040",-23819.2260976677
"battery","p76","2045",-211824.54484974
"battery","p76","2050",-788712.097050218
"battery","p77","2040",-5640.75676352085
"battery","p77","2045",-16717.0051294734
"battery","p77","2050",-38590.6035990572
"battery","p78","2040",-67045.9097919383
"battery","p78","2045",-173136.42444724
"battery","p78","2050",-181400.183958887
"battery","p79","2045",-369376.59757361
"battery","p79","2050",-1002821.19620039
"battery","p80","2014",-945.170888168771
